Players:
Ilona (Random AI) 
Anett (Random AI) 
Elemér (Random AI) 

Results:
Anett (Random AI) won 105 games (35%)
Elemér (Random AI) won 101 games (33,6666666666667%)
Ilona (Random AI) won 94 games (31,3333333333333%)

Game 142: Winner: Elemér, Type: Random AI
Game 143: Winner: Anett, Type: Random AI
Game 144: Winner: Ilona, Type: Random AI
Game 145: Winner: Anett, Type: Random AI
Game 146: Winner: Ilona, Type: Random AI
Game 147: Winner: Elemér, Type: Random AI
Game 148: Winner: Anett, Type: Random AI
Game 149: Winner: Ilona, Type: Random AI
Game 150: Winner: Ilona, Type: Random AI
Game 151: Winner: Ilona, Type: Random AI
Game 152: Winner: Elemér, Type: Random AI
Game 153: Winner: Anett, Type: Random AI
Game 154: Winner: Elemér, Type: Random AI
Game 155: Winner: Elemér, Type: Random AI
Game 156: Winner: Ilona, Type: Random AI
Game 157: Winner: Ilona, Type: Random AI
Game 158: Winner: Anett, Type: Random AI
Game 159: Winner: Anett, Type: Random AI
Game 160: Winner: Anett, Type: Random AI
Game 161: Winner: Anett, Type: Random AI
Game 162: Winner: Ilona, Type: Random AI
Game 163: Winner: Ilona, Type: Random AI
Game 164: Winner: Anett, Type: Random AI
Game 165: Winner: Ilona, Type: Random AI
Game 166: Winner: Elemér, Type: Random AI
Game 167: Winner: Anett, Type: Random AI
Game 168: Winner: Elemér, Type: Random AI
Game 169: Winner: Anett, Type: Random AI
Game 170: Winner: Anett, Type: Random AI
Game 171: Winner: Elemér, Type: Random AI
Game 172: Winner: Elemér, Type: Random AI
Game 173: Winner: Anett, Type: Random AI
Game 174: Winner: Elemér, Type: Random AI
Game 175: Winner: Anett, Type: Random AI
Game 176: Winner: Elemér, Type: Random AI
Game 177: Winner: Elemér, Type: Random AI
Game 178: Winner: Ilona, Type: Random AI
Game 179: Winner: Anett, Type: Random AI
Game 180: Winner: Ilona, Type: Random AI
Game 181: Winner: Ilona, Type: Random AI
Game 182: Winner: Elemér, Type: Random AI
Game 183: Winner: Elemér, Type: Random AI
Game 184: Winner: Anett, Type: Random AI
Game 185: Winner: Ilona, Type: Random AI
Game 186: Winner: Elemér, Type: Random AI
Game 187: Winner: Elemér, Type: Random AI
Game 188: Winner: Ilona, Type: Random AI
Game 189: Winner: Ilona, Type: Random AI
Game 190: Winner: Anett, Type: Random AI
Game 191: Winner: Ilona, Type: Random AI
Game 192: Winner: Ilona, Type: Random AI
Game 193: Winner: Ilona, Type: Random AI
Game 194: Winner: Elemér, Type: Random AI
Game 195: Winner: Anett, Type: Random AI
Game 196: Winner: Anett, Type: Random AI
Game 197: Winner: Anett, Type: Random AI
Game 198: Winner: Anett, Type: Random AI
Game 199: Winner: Ilona, Type: Random AI
Game 200: Winner: Elemér, Type: Random AI
Game 201: Winner: Anett, Type: Random AI
Game 202: Winner: Ilona, Type: Random AI
Game 203: Winner: Ilona, Type: Random AI
Game 204: Winner: Anett, Type: Random AI
Game 205: Winner: Ilona, Type: Random AI
Game 206: Winner: Ilona, Type: Random AI
Game 207: Winner: Elemér, Type: Random AI
Game 208: Winner: Elemér, Type: Random AI
Game 209: Winner: Ilona, Type: Random AI
Game 210: Winner: Ilona, Type: Random AI
Game 211: Winner: Anett, Type: Random AI
Game 212: Winner: Anett, Type: Random AI
Game 213: Winner: Anett, Type: Random AI
Game 214: Winner: Elemér, Type: Random AI
Game 215: Winner: Anett, Type: Random AI
Game 216: Winner: Ilona, Type: Random AI
Game 217: Winner: Anett, Type: Random AI
Game 218: Winner: Elemér, Type: Random AI
Game 219: Winner: Anett, Type: Random AI
Game 220: Winner: Elemér, Type: Random AI
Game 221: Winner: Elemér, Type: Random AI
Game 222: Winner: Anett, Type: Random AI
Game 223: Winner: Elemér, Type: Random AI
Game 224: Winner: Elemér, Type: Random AI
Game 225: Winner: Elemér, Type: Random AI
Game 226: Winner: Ilona, Type: Random AI
Game 227: Winner: Elemér, Type: Random AI
Game 228: Winner: Anett, Type: Random AI
Game 229: Winner: Elemér, Type: Random AI
Game 230: Winner: Ilona, Type: Random AI
Game 231: Winner: Ilona, Type: Random AI
Game 232: Winner: Elemér, Type: Random AI
Game 233: Winner: Elemér, Type: Random AI
Game 234: Winner: Ilona, Type: Random AI
Game 235: Winner: Anett, Type: Random AI
Game 236: Winner: Elemér, Type: Random AI
Game 237: Winner: Ilona, Type: Random AI
Game 238: Winner: Elemér, Type: Random AI
Game 239: Winner: Elemér, Type: Random AI
Game 240: Winner: Ilona, Type: Random AI
Game 241: Winner: Anett, Type: Random AI
Game 242: Winner: Anett, Type: Random AI
Game 243: Winner: Anett, Type: Random AI
Game 244: Winner: Anett, Type: Random AI
Game 245: Winner: Elemér, Type: Random AI
Game 246: Winner: Elemér, Type: Random AI
Game 247: Winner: Elemér, Type: Random AI
