Players:
Gergő (Random AI) 
Sándor (Simple AI) 

Results:
Sándor (Simple AI) won 471 games (47,1%)
Gergő (Random AI) won 529 games (52,9%)

Game 138: Winner: Sándor, Type: Simple AI
Game 139: Winner: Sándor, Type: Simple AI
Game 140: Winner: Gergő, Type: Random AI
Game 141: Winner: Gergő, Type: Random AI
Game 142: Winner: Sándor, Type: Simple AI
Game 143: Winner: Sándor, Type: Simple AI
Game 144: Winner: Gergő, Type: Random AI
Game 145: Winner: Gergő, Type: Random AI
Game 146: Winner: Sándor, Type: Simple AI
Game 147: Winner: Gergő, Type: Random AI
Game 148: Winner: Gergő, Type: Random AI
Game 149: Winner: Gergő, Type: Random AI
Game 150: Winner: Sándor, Type: Simple AI
Game 151: Winner: Gergő, Type: Random AI
Game 152: Winner: Gergő, Type: Random AI
Game 153: Winner: Gergő, Type: Random AI
Game 154: Winner: Sándor, Type: Simple AI
Game 155: Winner: Sándor, Type: Simple AI
Game 156: Winner: Gergő, Type: Random AI
Game 157: Winner: Gergő, Type: Random AI
Game 158: Winner: Sándor, Type: Simple AI
Game 159: Winner: Sándor, Type: Simple AI
Game 160: Winner: Gergő, Type: Random AI
Game 161: Winner: Gergő, Type: Random AI
Game 162: Winner: Gergő, Type: Random AI
Game 163: Winner: Gergő, Type: Random AI
Game 164: Winner: Gergő, Type: Random AI
Game 165: Winner: Sándor, Type: Simple AI
Game 166: Winner: Sándor, Type: Simple AI
Game 167: Winner: Sándor, Type: Simple AI
Game 168: Winner: Sándor, Type: Simple AI
Game 169: Winner: Sándor, Type: Simple AI
Game 170: Winner: Sándor, Type: Simple AI
Game 171: Winner: Sándor, Type: Simple AI
Game 172: Winner: Sándor, Type: Simple AI
Game 173: Winner: Gergő, Type: Random AI
Game 174: Winner: Sándor, Type: Simple AI
Game 175: Winner: Gergő, Type: Random AI
Game 176: Winner: Sándor, Type: Simple AI
Game 177: Winner: Gergő, Type: Random AI
Game 178: Winner: Gergő, Type: Random AI
Game 179: Winner: Sándor, Type: Simple AI
Game 180: Winner: Gergő, Type: Random AI
Game 181: Winner: Sándor, Type: Simple AI
Game 182: Winner: Sándor, Type: Simple AI
Game 183: Winner: Gergő, Type: Random AI
Game 184: Winner: Gergő, Type: Random AI
Game 185: Winner: Sándor, Type: Simple AI
Game 186: Winner: Gergő, Type: Random AI
Game 187: Winner: Sándor, Type: Simple AI
Game 188: Winner: Sándor, Type: Simple AI
Game 189: Winner: Gergő, Type: Random AI
Game 190: Winner: Sándor, Type: Simple AI
Game 191: Winner: Sándor, Type: Simple AI
Game 192: Winner: Sándor, Type: Simple AI
Game 193: Winner: Gergő, Type: Random AI
Game 194: Winner: Sándor, Type: Simple AI
Game 195: Winner: Sándor, Type: Simple AI
Game 196: Winner: Sándor, Type: Simple AI
Game 197: Winner: Sándor, Type: Simple AI
Game 198: Winner: Gergő, Type: Random AI
Game 199: Winner: Gergő, Type: Random AI
Game 200: Winner: Sándor, Type: Simple AI
Game 201: Winner: Sándor, Type: Simple AI
Game 202: Winner: Gergő, Type: Random AI
Game 203: Winner: Gergő, Type: Random AI
Game 204: Winner: Sándor, Type: Simple AI
Game 205: Winner: Gergő, Type: Random AI
Game 206: Winner: Sándor, Type: Simple AI
Game 207: Winner: Gergő, Type: Random AI
Game 208: Winner: Gergő, Type: Random AI
Game 209: Winner: Gergő, Type: Random AI
Game 210: Winner: Sándor, Type: Simple AI
Game 211: Winner: Sándor, Type: Simple AI
Game 212: Winner: Gergő, Type: Random AI
Game 213: Winner: Gergő, Type: Random AI
Game 214: Winner: Sándor, Type: Simple AI
Game 215: Winner: Sándor, Type: Simple AI
Game 216: Winner: Gergő, Type: Random AI
Game 217: Winner: Sándor, Type: Simple AI
Game 218: Winner: Gergő, Type: Random AI
Game 219: Winner: Gergő, Type: Random AI
Game 220: Winner: Sándor, Type: Simple AI
Game 221: Winner: Gergő, Type: Random AI
Game 222: Winner: Gergő, Type: Random AI
Game 223: Winner: Sándor, Type: Simple AI
Game 224: Winner: Sándor, Type: Simple AI
Game 225: Winner: Gergő, Type: Random AI
Game 226: Winner: Sándor, Type: Simple AI
Game 227: Winner: Sándor, Type: Simple AI
Game 228: Winner: Sándor, Type: Simple AI
Game 229: Winner: Gergő, Type: Random AI
Game 230: Winner: Gergő, Type: Random AI
Game 231: Winner: Gergő, Type: Random AI
Game 232: Winner: Gergő, Type: Random AI
Game 233: Winner: Sándor, Type: Simple AI
Game 234: Winner: Sándor, Type: Simple AI
Game 235: Winner: Gergő, Type: Random AI
Game 236: Winner: Gergő, Type: Random AI
Game 237: Winner: Gergő, Type: Random AI
Game 238: Winner: Gergő, Type: Random AI
Game 239: Winner: Sándor, Type: Simple AI
Game 240: Winner: Gergő, Type: Random AI
Game 241: Winner: Sándor, Type: Simple AI
Game 242: Winner: Sándor, Type: Simple AI
Game 243: Winner: Gergő, Type: Random AI
Game 244: Winner: Sándor, Type: Simple AI
Game 245: Winner: Sándor, Type: Simple AI
Game 246: Winner: Sándor, Type: Simple AI
Game 247: Winner: Gergő, Type: Random AI
Game 248: Winner: Sándor, Type: Simple AI
Game 249: Winner: Gergő, Type: Random AI
Game 250: Winner: Gergő, Type: Random AI
Game 251: Winner: Sándor, Type: Simple AI
Game 252: Winner: Gergő, Type: Random AI
Game 253: Winner: Gergő, Type: Random AI
Game 254: Winner: Gergő, Type: Random AI
Game 255: Winner: Sándor, Type: Simple AI
Game 256: Winner: Sándor, Type: Simple AI
Game 257: Winner: Gergő, Type: Random AI
Game 258: Winner: Gergő, Type: Random AI
Game 259: Winner: Gergő, Type: Random AI
Game 260: Winner: Gergő, Type: Random AI
Game 261: Winner: Gergő, Type: Random AI
Game 262: Winner: Gergő, Type: Random AI
Game 263: Winner: Sándor, Type: Simple AI
Game 264: Winner: Gergő, Type: Random AI
Game 265: Winner: Gergő, Type: Random AI
Game 266: Winner: Sándor, Type: Simple AI
Game 267: Winner: Sándor, Type: Simple AI
Game 268: Winner: Gergő, Type: Random AI
Game 269: Winner: Sándor, Type: Simple AI
Game 270: Winner: Gergő, Type: Random AI
Game 271: Winner: Sándor, Type: Simple AI
Game 272: Winner: Gergő, Type: Random AI
Game 273: Winner: Gergő, Type: Random AI
Game 274: Winner: Gergő, Type: Random AI
Game 275: Winner: Sándor, Type: Simple AI
Game 276: Winner: Sándor, Type: Simple AI
Game 277: Winner: Gergő, Type: Random AI
Game 278: Winner: Sándor, Type: Simple AI
Game 279: Winner: Gergő, Type: Random AI
Game 280: Winner: Sándor, Type: Simple AI
Game 281: Winner: Gergő, Type: Random AI
Game 282: Winner: Sándor, Type: Simple AI
Game 283: Winner: Gergő, Type: Random AI
Game 284: Winner: Gergő, Type: Random AI
Game 285: Winner: Gergő, Type: Random AI
Game 286: Winner: Gergő, Type: Random AI
Game 287: Winner: Sándor, Type: Simple AI
Game 288: Winner: Gergő, Type: Random AI
Game 289: Winner: Gergő, Type: Random AI
Game 290: Winner: Gergő, Type: Random AI
Game 291: Winner: Sándor, Type: Simple AI
Game 292: Winner: Gergő, Type: Random AI
Game 293: Winner: Gergő, Type: Random AI
Game 294: Winner: Sándor, Type: Simple AI
Game 295: Winner: Sándor, Type: Simple AI
Game 296: Winner: Sándor, Type: Simple AI
Game 297: Winner: Sándor, Type: Simple AI
Game 298: Winner: Gergő, Type: Random AI
Game 299: Winner: Gergő, Type: Random AI
Game 300: Winner: Gergő, Type: Random AI
Game 301: Winner: Sándor, Type: Simple AI
Game 302: Winner: Gergő, Type: Random AI
Game 303: Winner: Sándor, Type: Simple AI
Game 304: Winner: Sándor, Type: Simple AI
Game 305: Winner: Sándor, Type: Simple AI
Game 306: Winner: Sándor, Type: Simple AI
Game 307: Winner: Gergő, Type: Random AI
Game 308: Winner: Sándor, Type: Simple AI
Game 309: Winner: Gergő, Type: Random AI
Game 310: Winner: Sándor, Type: Simple AI
Game 311: Winner: Sándor, Type: Simple AI
Game 312: Winner: Sándor, Type: Simple AI
Game 313: Winner: Gergő, Type: Random AI
Game 314: Winner: Sándor, Type: Simple AI
Game 315: Winner: Gergő, Type: Random AI
Game 316: Winner: Sándor, Type: Simple AI
Game 317: Winner: Sándor, Type: Simple AI
Game 318: Winner: Gergő, Type: Random AI
Game 319: Winner: Sándor, Type: Simple AI
Game 320: Winner: Sándor, Type: Simple AI
Game 321: Winner: Sándor, Type: Simple AI
Game 322: Winner: Sándor, Type: Simple AI
Game 323: Winner: Gergő, Type: Random AI
Game 324: Winner: Sándor, Type: Simple AI
Game 325: Winner: Sándor, Type: Simple AI
Game 326: Winner: Sándor, Type: Simple AI
Game 327: Winner: Gergő, Type: Random AI
Game 328: Winner: Sándor, Type: Simple AI
Game 329: Winner: Sándor, Type: Simple AI
Game 330: Winner: Gergő, Type: Random AI
Game 331: Winner: Sándor, Type: Simple AI
Game 332: Winner: Gergő, Type: Random AI
Game 333: Winner: Gergő, Type: Random AI
Game 334: Winner: Sándor, Type: Simple AI
Game 335: Winner: Gergő, Type: Random AI
Game 336: Winner: Sándor, Type: Simple AI
Game 337: Winner: Gergő, Type: Random AI
Game 338: Winner: Gergő, Type: Random AI
Game 339: Winner: Sándor, Type: Simple AI
Game 340: Winner: Sándor, Type: Simple AI
Game 341: Winner: Sándor, Type: Simple AI
Game 342: Winner: Sándor, Type: Simple AI
Game 343: Winner: Sándor, Type: Simple AI
Game 344: Winner: Gergő, Type: Random AI
Game 345: Winner: Gergő, Type: Random AI
Game 346: Winner: Sándor, Type: Simple AI
Game 347: Winner: Sándor, Type: Simple AI
Game 348: Winner: Gergő, Type: Random AI
Game 349: Winner: Sándor, Type: Simple AI
Game 350: Winner: Gergő, Type: Random AI
Game 351: Winner: Gergő, Type: Random AI
Game 352: Winner: Gergő, Type: Random AI
Game 353: Winner: Gergő, Type: Random AI
Game 354: Winner: Sándor, Type: Simple AI
Game 355: Winner: Sándor, Type: Simple AI
Game 356: Winner: Gergő, Type: Random AI
Game 357: Winner: Sándor, Type: Simple AI
Game 358: Winner: Gergő, Type: Random AI
Game 359: Winner: Gergő, Type: Random AI
Game 360: Winner: Sándor, Type: Simple AI
Game 361: Winner: Sándor, Type: Simple AI
Game 362: Winner: Gergő, Type: Random AI
Game 363: Winner: Gergő, Type: Random AI
Game 364: Winner: Gergő, Type: Random AI
Game 365: Winner: Gergő, Type: Random AI
Game 366: Winner: Sándor, Type: Simple AI
Game 367: Winner: Gergő, Type: Random AI
Game 368: Winner: Gergő, Type: Random AI
Game 369: Winner: Sándor, Type: Simple AI
Game 370: Winner: Sándor, Type: Simple AI
Game 371: Winner: Sándor, Type: Simple AI
Game 372: Winner: Gergő, Type: Random AI
Game 373: Winner: Gergő, Type: Random AI
Game 374: Winner: Gergő, Type: Random AI
Game 375: Winner: Gergő, Type: Random AI
Game 376: Winner: Gergő, Type: Random AI
Game 377: Winner: Gergő, Type: Random AI
Game 378: Winner: Sándor, Type: Simple AI
Game 379: Winner: Sándor, Type: Simple AI
Game 380: Winner: Gergő, Type: Random AI
Game 381: Winner: Gergő, Type: Random AI
Game 382: Winner: Sándor, Type: Simple AI
