Players:
Ilona (Random AI) 
Anett (Random AI) 
Elemér (Simple AI) 

Results:
Ilona (Random AI) won 85 games (28,3333333333333%)
Game 139: Winner: Ilona, Type: Random AI
Game 140: Winner: Elemér, Type: Simple AI
Game 141: Winner: Elemér, Type: Simple AI
Game 142: Winner: Anett, Type: Random AI
Game 143: Winner: Anett, Type: Random AI
Game 144: Winner: Elemér, Type: Simple AI
Game 145: Winner: Elemér, Type: Simple AI
Game 146: Winner: Elemér, Type: Simple AI
Game 147: Winner: Elemér, Type: Simple AI
Game 148: Winner: Ilona, Type: Random AI
Game 149: Winner: Anett, Type: Random AI
Game 150: Winner: Ilona, Type: Random AI
Game 151: Winner: Anett, Type: Random AI
Game 152: Winner: Elemér, Type: Simple AI
Game 153: Winner: Anett, Type: Random AI
Game 154: Winner: Ilona, Type: Random AI
Game 155: Winner: Ilona, Type: Random AI
Game 156: Winner: Elemér, Type: Simple AI
Game 157: Winner: Elemér, Type: Simple AI
Game 158: Winner: Elemér, Type: Simple AI
Game 159: Winner: Elemér, Type: Simple AI
Game 160: Winner: Anett, Type: Random AI
Game 161: Winner: Anett, Type: Random AI
Game 162: Winner: Anett, Type: Random AI
Game 163: Winner: Anett, Type: Random AI
Game 164: Winner: Anett, Type: Random AI
Game 165: Winner: Elemér, Type: Simple AI
Game 166: Winner: Elemér, Type: Simple AI
Game 167: Winner: Elemér, Type: Simple AI
Game 168: Winner: Ilona, Type: Random AI
Game 169: Winner: Elemér, Type: Simple AI
Game 170: Winner: Ilona, Type: Random AI
Game 171: Winner: Elemér, Type: Simple AI
Game 172: Winner: Elemér, Type: Simple AI
Game 173: Winner: Elemér, Type: Simple AI
Game 174: Winner: Anett, Type: Random AI
Game 175: Winner: Elemér, Type: Simple AI
Game 176: Winner: Elemér, Type: Simple AI
Game 177: Winner: Elemér, Type: Simple AI
Game 178: Winner: Anett, Type: Random AI
Game 179: Winner: Ilona, Type: Random AI
Game 180: Winner: Ilona, Type: Random AI
Game 181: Winner: Anett, Type: Random AI
Game 182: Winner: Anett, Type: Random AI
Game 183: Winner: Anett, Type: Random AI
Game 184: Winner: Ilona, Type: Random AI
Game 185: Winner: Elemér, Type: Simple AI
Game 186: Winner: Anett, Type: Random AI
Game 187: Winner: Elemér, Type: Simple AI
Game 188: Winner: Anett, Type: Random AI
Game 189: Winner: Anett, Type: Random AI
Game 190: Winner: Ilona, Type: Random AI
Game 191: Winner: Elemér, Type: Simple AI
Game 192: Winner: Anett, Type: Random AI
Game 193: Winner: Elemér, Type: Simple AI
Game 194: Winner: Elemér, Type: Simple AI
Game 195: Winner: Elemér, Type: Simple AI
Game 196: Winner: Elemér, Type: Simple AI
Game 197: Winner: Ilona, Type: Random AI
Game 198: Winner: Ilona, Type: Random AI
Game 199: Winner: Elemér, Type: Simple AI
Game 200: Winner: Ilona, Type: Random AI
Game 201: Winner: Elemér, Type: Simple AI
Game 202: Winner: Anett, Type: Random AI
Game 203: Winner: Elemér, Type: Simple AI
Game 204: Winner: Anett, Type: Random AI
Game 205: Winner: Elemér, Type: Simple AI
Game 206: Winner: Ilona, Type: Random AI
Game 207: Winner: Elemér, Type: Simple AI
Game 208: Winner: Anett, Type: Random AI
Game 209: Winner: Elemér, Type: Simple AI
Game 210: Winner: Elemér, Type: Simple AI
Game 211: Winner: Anett, Type: Random AI
Game 212: Winner: Anett, Type: Random AI
Game 213: Winner: Elemér, Type: Simple AI
Game 214: Winner: Ilona, Type: Random AI
Game 215: Winner: Ilona, Type: Random AI
Game 216: Winner: Elemér, Type: Simple AI
Game 217: Winner: Elemér, Type: Simple AI
Game 218: Winner: Elemér, Type: Simple AI
Game 219: Winner: Ilona, Type: Random AI
Game 220: Winner: Elemér, Type: Simple AI
Game 221: Winner: Anett, Type: Random AI
Game 222: Winner: Ilona, Type: Random AI
Game 223: Winner: Elemér, Type: Simple AI
Game 224: Winner: Ilona, Type: Random AI
Game 225: Winner: Anett, Type: Random AI
Game 226: Winner: Anett, Type: Random AI
Game 227: Winner: Anett, Type: Random AI
Game 228: Winner: Elemér, Type: Simple AI
Game 229: Winner: Elemér, Type: Simple AI
Game 230: Winner: Ilona, Type: Random AI
Game 231: Winner: Ilona, Type: Random AI
Game 232: Winner: Elemér, Type: Simple AI
Game 233: Winner: Elemér, Type: Simple AI
Game 234: Winner: Elemér, Type: Simple AI
Game 235: Winner: Anett, Type: Random AI
Game 236: Winner: Elemér, Type: Simple AI
Game 237: Winner: Anett, Type: Random AI
Game 238: Winner: Ilona, Type: Random AI
Game 239: Winner: Anett, Type: Random AI
Game 240: Winner: Ilona, Type: Random AI
Game 241: Winner: Anett, Type: Random AI
Game 242: Winner: Elemér, Type: Simple AI
Game 243: Winner: Elemér, Type: Simple AI
Game 244: Winner: Ilona, Type: Random AI
Game 245: Winner: Ilona, Type: Random AI
Game 246: Winner: Ilona, Type: Random AI
Game 247: Winner: Ilona, Type: Random AI
Game 248: Winner: Elemér, Type: Simple AI
Game 249: Winner: Elemér, Type: Simple AI
Game 250: Winner: Ilona, Type: Random AI
Game 251: Winner: Ilona, Type: Random AI
Game 252: Winner: Elemér, Type: Simple AI
Game 253: Winner: Elemér, Type: Simple AI
Game 254: Winner: Elemér, Type: Simple AI
Game 255: Winner: Anett, Type: Random AI
Game 256: Winner: Anett, Type: Random AI
Game 257: Winner: Ilona, Type: Random AI
Game 258: Winner: Anett, Type: Random AI
Game 259: Winner: Elemér, Type: Simple AI
Game 260: Winner: Anett, Type: Random AI
Game 261: Winner: Anett, Type: Random AI
Game 262: Winner: Elemér, Type: Simple AI
Game 263: Winner: Elemér, Type: Simple AI
Game 264: Winner: Ilona, Type: Random AI
Game 265: Winner: Anett, Type: Random AI
Game 266: Winner: Ilona, Type: Random AI
Game 267: Winner: Anett, Type: Random AI
Game 268: Winner: Elemér, Type: Simple AI
Game 269: Winner: Elemér, Type: Simple AI
Game 270: Winner: Anett, Type: Random AI
Game 271: Winner: Anett, Type: Random AI
Game 272: Winner: Elemér, Type: Simple AI
Game 273: Winner: Elemér, Type: Simple AI
Game 274: Winner: Ilona, Type: Random AI
Game 275: Winner: Ilona, Type: Random AI
Game 276: Winner: Ilona, Type: Random AI
Game 277: Winner: Elemér, Type: Simple AI
Game 278: Winner: Ilona, Type: Random AI
Game 279: Winner: Elemér, Type: Simple AI
Game 280: Winner: Anett, Type: Random AI
Game 281: Winner: Ilona, Type: Random AI
Game 282: Winner: Elemér, Type: Simple AI
Game 283: Winner: Ilona, Type: Random AI
