Players:
Ilona (Random AI) 
Áron (Simple AI) 

Results:
Áron (Simple AI) won 493 games (49,3%)
Ilona (Random AI) won 507 games (50,7%)

Game 141: Winner: Ilona, Type: Random AI
Game 142: Winner: Áron, Type: Simple AI
Game 143: Winner: Ilona, Type: Random AI
Game 144: Winner: Áron, Type: Simple AI
Game 145: Winner: Áron, Type: Simple AI
Game 146: Winner: Áron, Type: Simple AI
Game 147: Winner: Áron, Type: Simple AI
Game 148: Winner: Áron, Type: Simple AI
Game 149: Winner: Ilona, Type: Random AI
Game 150: Winner: Ilona, Type: Random AI
Game 151: Winner: Ilona, Type: Random AI
Game 152: Winner: Ilona, Type: Random AI
Game 153: Winner: Áron, Type: Simple AI
Game 154: Winner: Ilona, Type: Random AI
Game 155: Winner: Áron, Type: Simple AI
Game 156: Winner: Áron, Type: Simple AI
Game 157: Winner: Áron, Type: Simple AI
Game 158: Winner: Áron, Type: Simple AI
Game 159: Winner: Áron, Type: Simple AI
Game 160: Winner: Áron, Type: Simple AI
Game 161: Winner: Ilona, Type: Random AI
Game 162: Winner: Áron, Type: Simple AI
Game 163: Winner: Áron, Type: Simple AI
Game 164: Winner: Áron, Type: Simple AI
Game 165: Winner: Áron, Type: Simple AI
Game 166: Winner: Ilona, Type: Random AI
Game 167: Winner: Ilona, Type: Random AI
Game 168: Winner: Áron, Type: Simple AI
Game 169: Winner: Ilona, Type: Random AI
Game 170: Winner: Áron, Type: Simple AI
Game 171: Winner: Áron, Type: Simple AI
Game 172: Winner: Áron, Type: Simple AI
Game 173: Winner: Ilona, Type: Random AI
Game 174: Winner: Ilona, Type: Random AI
Game 175: Winner: Áron, Type: Simple AI
Game 176: Winner: Áron, Type: Simple AI
Game 177: Winner: Ilona, Type: Random AI
Game 178: Winner: Áron, Type: Simple AI
Game 179: Winner: Áron, Type: Simple AI
Game 180: Winner: Ilona, Type: Random AI
Game 181: Winner: Ilona, Type: Random AI
Game 182: Winner: Áron, Type: Simple AI
Game 183: Winner: Áron, Type: Simple AI
Game 184: Winner: Ilona, Type: Random AI
Game 185: Winner: Ilona, Type: Random AI
Game 186: Winner: Áron, Type: Simple AI
Game 187: Winner: Ilona, Type: Random AI
Game 188: Winner: Ilona, Type: Random AI
Game 189: Winner: Áron, Type: Simple AI
Game 190: Winner: Áron, Type: Simple AI
Game 191: Winner: Ilona, Type: Random AI
Game 192: Winner: Áron, Type: Simple AI
Game 193: Winner: Ilona, Type: Random AI
Game 194: Winner: Ilona, Type: Random AI
Game 195: Winner: Áron, Type: Simple AI
Game 196: Winner: Áron, Type: Simple AI
Game 197: Winner: Áron, Type: Simple AI
Game 198: Winner: Ilona, Type: Random AI
Game 199: Winner: Ilona, Type: Random AI
Game 200: Winner: Áron, Type: Simple AI
Game 201: Winner: Áron, Type: Simple AI
Game 202: Winner: Ilona, Type: Random AI
Game 203: Winner: Ilona, Type: Random AI
Game 204: Winner: Áron, Type: Simple AI
Game 205: Winner: Áron, Type: Simple AI
Game 206: Winner: Áron, Type: Simple AI
Game 207: Winner: Áron, Type: Simple AI
Game 208: Winner: Ilona, Type: Random AI
Game 209: Winner: Ilona, Type: Random AI
Game 210: Winner: Ilona, Type: Random AI
Game 211: Winner: Ilona, Type: Random AI
Game 212: Winner: Ilona, Type: Random AI
Game 213: Winner: Ilona, Type: Random AI
Game 214: Winner: Ilona, Type: Random AI
Game 215: Winner: Ilona, Type: Random AI
Game 216: Winner: Ilona, Type: Random AI
Game 217: Winner: Áron, Type: Simple AI
Game 218: Winner: Áron, Type: Simple AI
Game 219: Winner: Ilona, Type: Random AI
Game 220: Winner: Ilona, Type: Random AI
Game 221: Winner: Ilona, Type: Random AI
Game 222: Winner: Áron, Type: Simple AI
Game 223: Winner: Áron, Type: Simple AI
Game 224: Winner: Áron, Type: Simple AI
Game 225: Winner: Ilona, Type: Random AI
Game 226: Winner: Ilona, Type: Random AI
Game 227: Winner: Áron, Type: Simple AI
Game 228: Winner: Áron, Type: Simple AI
Game 229: Winner: Ilona, Type: Random AI
Game 230: Winner: Áron, Type: Simple AI
Game 231: Winner: Áron, Type: Simple AI
Game 232: Winner: Áron, Type: Simple AI
Game 233: Winner: Áron, Type: Simple AI
Game 234: Winner: Áron, Type: Simple AI
Game 235: Winner: Áron, Type: Simple AI
Game 236: Winner: Ilona, Type: Random AI
Game 237: Winner: Áron, Type: Simple AI
Game 238: Winner: Áron, Type: Simple AI
Game 239: Winner: Ilona, Type: Random AI
Game 240: Winner: Ilona, Type: Random AI
Game 241: Winner: Áron, Type: Simple AI
Game 242: Winner: Ilona, Type: Random AI
Game 243: Winner: Ilona, Type: Random AI
Game 244: Winner: Ilona, Type: Random AI
Game 245: Winner: Áron, Type: Simple AI
Game 246: Winner: Ilona, Type: Random AI
Game 247: Winner: Ilona, Type: Random AI
Game 248: Winner: Ilona, Type: Random AI
