Players:
Ilona (Simple AI) 
Anett (Simple AI) 

Results:
Anett (Simple AI) won 152 games (50,6666666666667%)
Ilona (Simple AI) won 148 games (49,3333333333333%)

Game 138: Winner: Anett, Type: Simple AI
Game 139: Winner: Ilona, Type: Simple AI
Game 140: Winner: Anett, Type: Simple AI
Game 141: Winner: Anett, Type: Simple AI
Game 142: Winner: Ilona, Type: Simple AI
Game 143: Winner: Ilona, Type: Simple AI
Game 144: Winner: Anett, Type: Simple AI
Game 145: Winner: Ilona, Type: Simple AI
Game 146: Winner: Anett, Type: Simple AI
Game 147: Winner: Ilona, Type: Simple AI
Game 148: Winner: Ilona, Type: Simple AI
Game 149: Winner: Ilona, Type: Simple AI
Game 150: Winner: Anett, Type: Simple AI
Game 151: Winner: Anett, Type: Simple AI
Game 152: Winner: Ilona, Type: Simple AI
Game 153: Winner: Ilona, Type: Simple AI
Game 154: Winner: Ilona, Type: Simple AI
Game 155: Winner: Ilona, Type: Simple AI
Game 156: Winner: Anett, Type: Simple AI
Game 157: Winner: Anett, Type: Simple AI
Game 158: Winner: Anett, Type: Simple AI
Game 159: Winner: Anett, Type: Simple AI
Game 160: Winner: Ilona, Type: Simple AI
Game 161: Winner: Anett, Type: Simple AI
Game 162: Winner: Ilona, Type: Simple AI
Game 163: Winner: Anett, Type: Simple AI
Game 164: Winner: Ilona, Type: Simple AI
Game 165: Winner: Ilona, Type: Simple AI
Game 166: Winner: Ilona, Type: Simple AI
Game 167: Winner: Ilona, Type: Simple AI
Game 168: Winner: Anett, Type: Simple AI
Game 169: Winner: Ilona, Type: Simple AI
Game 170: Winner: Anett, Type: Simple AI
Game 171: Winner: Ilona, Type: Simple AI
Game 172: Winner: Ilona, Type: Simple AI
Game 173: Winner: Anett, Type: Simple AI
Game 174: Winner: Anett, Type: Simple AI
Game 175: Winner: Ilona, Type: Simple AI
Game 176: Winner: Ilona, Type: Simple AI
Game 177: Winner: Anett, Type: Simple AI
Game 178: Winner: Anett, Type: Simple AI
Game 179: Winner: Ilona, Type: Simple AI
Game 180: Winner: Anett, Type: Simple AI
Game 181: Winner: Ilona, Type: Simple AI
Game 182: Winner: Ilona, Type: Simple AI
Game 183: Winner: Ilona, Type: Simple AI
Game 184: Winner: Anett, Type: Simple AI
Game 185: Winner: Ilona, Type: Simple AI
Game 186: Winner: Anett, Type: Simple AI
Game 187: Winner: Ilona, Type: Simple AI
Game 188: Winner: Anett, Type: Simple AI
Game 189: Winner: Anett, Type: Simple AI
Game 190: Winner: Anett, Type: Simple AI
Game 191: Winner: Anett, Type: Simple AI
Game 192: Winner: Anett, Type: Simple AI
Game 193: Winner: Ilona, Type: Simple AI
Game 194: Winner: Anett, Type: Simple AI
Game 195: Winner: Anett, Type: Simple AI
Game 196: Winner: Ilona, Type: Simple AI
Game 197: Winner: Anett, Type: Simple AI
Game 198: Winner: Anett, Type: Simple AI
Game 199: Winner: Ilona, Type: Simple AI
Game 200: Winner: Ilona, Type: Simple AI
Game 201: Winner: Ilona, Type: Simple AI
Game 202: Winner: Ilona, Type: Simple AI
Game 203: Winner: Anett, Type: Simple AI
Game 204: Winner: Ilona, Type: Simple AI
Game 205: Winner: Ilona, Type: Simple AI
Game 206: Winner: Ilona, Type: Simple AI
Game 207: Winner: Ilona, Type: Simple AI
Game 208: Winner: Anett, Type: Simple AI
Game 209: Winner: Ilona, Type: Simple AI
Game 210: Winner: Anett, Type: Simple AI
Game 211: Winner: Anett, Type: Simple AI
Game 212: Winner: Ilona, Type: Simple AI
Game 213: Winner: Ilona, Type: Simple AI
Game 214: Winner: Ilona, Type: Simple AI
Game 215: Winner: Anett, Type: Simple AI
Game 216: Winner: Ilona, Type: Simple AI
Game 217: Winner: Ilona, Type: Simple AI
Game 218: Winner: Anett, Type: Simple AI
Game 219: Winner: Anett, Type: Simple AI
Game 220: Winner: Ilona, Type: Simple AI
Game 221: Winner: Anett, Type: Simple AI
Game 222: Winner: Anett, Type: Simple AI
Game 223: Winner: Anett, Type: Simple AI
Game 224: Winner: Anett, Type: Simple AI
Game 225: Winner: Anett, Type: Simple AI
Game 226: Winner: Ilona, Type: Simple AI
Game 227: Winner: Ilona, Type: Simple AI
Game 228: Winner: Anett, Type: Simple AI
Game 229: Winner: Ilona, Type: Simple AI
Game 230: Winner: Ilona, Type: Simple AI
Game 231: Winner: Ilona, Type: Simple AI
Game 232: Winner: Ilona, Type: Simple AI
Game 233: Winner: Ilona, Type: Simple AI
Game 234: Winner: Anett, Type: Simple AI
Game 235: Winner: Ilona, Type: Simple AI
Game 236: Winner: Anett, Type: Simple AI
Game 237: Winner: Ilona, Type: Simple AI
Game 238: Winner: Anett, Type: Simple AI
Game 239: Winner: Ilona, Type: Simple AI
Game 240: Winner: Anett, Type: Simple AI
Game 241: Winner: Anett, Type: Simple AI
Game 242: Winner: Ilona, Type: Simple AI
Game 243: Winner: Anett, Type: Simple AI
Game 244: Winner: Ilona, Type: Simple AI
Game 245: Winner: Ilona, Type: Simple AI
Game 246: Winner: Ilona, Type: Simple AI
Game 247: Winner: Anett, Type: Simple AI
Game 248: Winner: Anett, Type: Simple AI
Game 249: Winner: Anett, Type: Simple AI
Game 250: Winner: Ilona, Type: Simple AI
Game 251: Winner: Anett, Type: Simple AI
Game 252: Winner: Ilona, Type: Simple AI
Game 253: Winner: Ilona, Type: Simple AI
Game 254: Winner: Anett, Type: Simple AI
Game 255: Winner: Ilona, Type: Simple AI
Game 256: Winner: Ilona, Type: Simple AI
Game 257: Winner: Anett, Type: Simple AI
Game 258: Winner: Ilona, Type: Simple AI
Game 259: Winner: Ilona, Type: Simple AI
Game 260: Winner: Ilona, Type: Simple AI
Game 261: Winner: Anett, Type: Simple AI
Game 262: Winner: Ilona, Type: Simple AI
Game 263: Winner: Anett, Type: Simple AI
Game 264: Winner: Anett, Type: Simple AI
Game 265: Winner: Anett, Type: Simple AI
Game 266: Winner: Ilona, Type: Simple AI
Game 267: Winner: Anett, Type: Simple AI
Game 268: Winner: Ilona, Type: Simple AI
Game 269: Winner: Ilona, Type: Simple AI
Game 270: Winner: Ilona, Type: Simple AI
Game 271: Winner: Anett, Type: Simple AI
Game 272: Winner: Ilona, Type: Simple AI
Game 273: Winner: Ilona, Type: Simple AI
Game 274: Winner: Ilona, Type: Simple AI
Game 275: Winner: Ilona, Type: Simple AI
Game 276: Winner: Ilona, Type: Simple AI
Game 277: Winner: Anett, Type: Simple AI
Game 278: Winner: Ilona, Type: Simple AI
Game 279: Winner: Ilona, Type: Simple AI
Game 280: Winner: Ilona, Type: Simple AI
Game 281: Winner: Anett, Type: Simple AI
Game 282: Winner: Ilona, Type: Simple AI
Game 283: Winner: Anett, Type: Simple AI
Game 284: Winner: Anett, Type: Simple AI
Game 285: Winner: Ilona, Type: Simple AI
Game 286: Winner: Anett, Type: Simple AI
Game 287: Winner: Ilona, Type: Simple AI
Game 288: Winner: Anett, Type: Simple AI
Game 289: Winner: Anett, Type: Simple AI
Game 290: Winner: Ilona, Type: Simple AI
Game 291: Winner: Anett, Type: Simple AI
Game 292: Winner: Ilona, Type: Simple AI
Game 293: Winner: Ilona, Type: Simple AI
Game 294: Winner: Ilona, Type: Simple AI
Game 295: Winner: Ilona, Type: Simple AI
Game 296: Winner: Anett, Type: Simple AI
Game 297: Winner: Anett, Type: Simple AI
Game 298: Winner: Anett, Type: Simple AI
Game 299: Winner: Ilona, Type: Simple AI
