Dániel(Random AI) won 102 games (51%)
Ilona(Random AI) won 98 games (49%)

Games:
Game 143: Winner: Dániel, Type: Random AI
Game 144: Winner: Dániel, Type: Random AI
Game 145: Winner: Ilona, Type: Random AI
Game 146: Winner: Ilona, Type: Random AI
Game 147: Winner: Dániel, Type: Random AI
Game 148: Winner: Dániel, Type: Random AI
Game 149: Winner: Ilona, Type: Random AI
Game 150: Winner: Ilona, Type: Random AI
Game 151: Winner: Ilona, Type: Random AI
Game 152: Winner: Dániel, Type: Random AI
Game 153: Winner: Dániel, Type: Random AI
Game 154: Winner: Ilona, Type: Random AI
Game 155: Winner: Ilona, Type: Random AI
Game 156: Winner: Dániel, Type: Random AI
Game 157: Winner: Ilona, Type: Random AI
Game 158: Winner: Dániel, Type: Random AI
Game 159: Winner: Ilona, Type: Random AI
Game 160: Winner: Ilona, Type: Random AI
Game 161: Winner: Dániel, Type: Random AI
Game 162: Winner: Dániel, Type: Random AI
Game 163: Winner: Ilona, Type: Random AI
Game 164: Winner: Ilona, Type: Random AI
Game 165: Winner: Dániel, Type: Random AI
Game 166: Winner: Ilona, Type: Random AI
Game 167: Winner: Ilona, Type: Random AI
Game 168: Winner: Dániel, Type: Random AI
Game 169: Winner: Dániel, Type: Random AI
Game 170: Winner: Dániel, Type: Random AI
Game 171: Winner: Dániel, Type: Random AI
Game 172: Winner: Ilona, Type: Random AI
Game 173: Winner: Ilona, Type: Random AI
Game 174: Winner: Dániel, Type: Random AI
Game 175: Winner: Ilona, Type: Random AI
Game 176: Winner: Dániel, Type: Random AI
Game 177: Winner: Dániel, Type: Random AI
Game 178: Winner: Dániel, Type: Random AI
Game 179: Winner: Ilona, Type: Random AI
Game 180: Winner: Ilona, Type: Random AI
Game 181: Winner: Ilona, Type: Random AI
Game 182: Winner: Dániel, Type: Random AI
Game 183: Winner: Dániel, Type: Random AI
Game 184: Winner: Dániel, Type: Random AI
Game 185: Winner: Ilona, Type: Random AI
Game 186: Winner: Dániel, Type: Random AI
Game 187: Winner: Ilona, Type: Random AI
Game 188: Winner: Ilona, Type: Random AI
Game 189: Winner: Dániel, Type: Random AI
Game 190: Winner: Dániel, Type: Random AI
Game 191: Winner: Ilona, Type: Random AI
Game 192: Winner: Dániel, Type: Random AI
Game 193: Winner: Dániel, Type: Random AI
Game 194: Winner: Ilona, Type: Random AI
Game 195: Winner: Dániel, Type: Random AI
Game 196: Winner: Dániel, Type: Random AI
Game 197: Winner: Dániel, Type: Random AI
Game 198: Winner: Dániel, Type: Random AI
Game 199: Winner: Ilona, Type: Random AI
