Players:
Ilona (Random AI) 
Anett (Simple AI) 
Elemér (Simple AI) 

Results:
Elemér (Simple AI) won 97 games (32,3333333333333%)
Game 138: Winner: Anett, Type: Simple AI
Game 139: Winner: Anett, Type: Simple AI
Game 140: Winner: Ilona, Type: Random AI
Game 141: Winner: Elemér, Type: Simple AI
Game 142: Winner: Ilona, Type: Random AI
Game 143: Winner: Ilona, Type: Random AI
Game 144: Winner: Ilona, Type: Random AI
Game 145: Winner: Anett, Type: Simple AI
Game 146: Winner: Elemér, Type: Simple AI
Game 147: Winner: Anett, Type: Simple AI
Game 148: Winner: Elemér, Type: Simple AI
Game 149: Winner: Ilona, Type: Random AI
Game 150: Winner: Ilona, Type: Random AI
Game 151: Winner: Ilona, Type: Random AI
Game 152: Winner: Elemér, Type: Simple AI
Game 153: Winner: Anett, Type: Simple AI
Game 154: Winner: Ilona, Type: Random AI
Game 155: Winner: Elemér, Type: Simple AI
Game 156: Winner: Elemér, Type: Simple AI
Game 157: Winner: Elemér, Type: Simple AI
Game 158: Winner: Ilona, Type: Random AI
Game 159: Winner: Ilona, Type: Random AI
Game 160: Winner: Elemér, Type: Simple AI
Game 161: Winner: Elemér, Type: Simple AI
Game 162: Winner: Anett, Type: Simple AI
Game 163: Winner: Elemér, Type: Simple AI
Game 164: Winner: Elemér, Type: Simple AI
Game 165: Winner: Elemér, Type: Simple AI
Game 166: Winner: Anett, Type: Simple AI
Game 167: Winner: Ilona, Type: Random AI
Game 168: Winner: Elemér, Type: Simple AI
Game 169: Winner: Elemér, Type: Simple AI
Game 170: Winner: Anett, Type: Simple AI
Game 171: Winner: Elemér, Type: Simple AI
Game 172: Winner: Anett, Type: Simple AI
Game 173: Winner: Elemér, Type: Simple AI
Game 174: Winner: Anett, Type: Simple AI
Game 175: Winner: Elemér, Type: Simple AI
Game 176: Winner: Elemér, Type: Simple AI
Game 177: Winner: Anett, Type: Simple AI
Game 178: Winner: Anett, Type: Simple AI
Game 179: Winner: Ilona, Type: Random AI
Game 180: Winner: Anett, Type: Simple AI
Game 181: Winner: Anett, Type: Simple AI
Game 182: Winner: Anett, Type: Simple AI
Game 183: Winner: Elemér, Type: Simple AI
Game 184: Winner: Anett, Type: Simple AI
Game 185: Winner: Elemér, Type: Simple AI
Game 186: Winner: Elemér, Type: Simple AI
Game 187: Winner: Anett, Type: Simple AI
Game 188: Winner: Ilona, Type: Random AI
Game 189: Winner: Elemér, Type: Simple AI
Game 190: Winner: Anett, Type: Simple AI
Game 191: Winner: Anett, Type: Simple AI
Game 192: Winner: Anett, Type: Simple AI
Game 193: Winner: Anett, Type: Simple AI
Game 194: Winner: Anett, Type: Simple AI
Game 195: Winner: Elemér, Type: Simple AI
Game 196: Winner: Anett, Type: Simple AI
Game 197: Winner: Anett, Type: Simple AI
Game 198: Winner: Anett, Type: Simple AI
Game 199: Winner: Elemér, Type: Simple AI
Game 200: Winner: Elemér, Type: Simple AI
Game 201: Winner: Elemér, Type: Simple AI
Game 202: Winner: Ilona, Type: Random AI
Game 203: Winner: Anett, Type: Simple AI
Game 204: Winner: Ilona, Type: Random AI
Game 205: Winner: Anett, Type: Simple AI
