Players:
Ilona (Random AI) 
Anett (Simple AI) 

Results:
Anett (Simple AI) won 309 games (61,8%)
Ilona (Random AI) won 191 games (38,2%)

Game 141: Winner: Ilona, Type: Random AI
Game 142: Winner: Anett, Type: Simple AI
Game 143: Winner: Anett, Type: Simple AI
Game 144: Winner: Anett, Type: Simple AI
Game 145: Winner: Anett, Type: Simple AI
Game 146: Winner: Anett, Type: Simple AI
Game 147: Winner: Anett, Type: Simple AI
Game 148: Winner: Anett, Type: Simple AI
Game 149: Winner: Anett, Type: Simple AI
Game 150: Winner: Anett, Type: Simple AI
Game 151: Winner: Ilona, Type: Random AI
Game 152: Winner: Anett, Type: Simple AI
Game 153: Winner: Anett, Type: Simple AI
Game 154: Winner: Ilona, Type: Random AI
Game 155: Winner: Ilona, Type: Random AI
Game 156: Winner: Ilona, Type: Random AI
Game 157: Winner: Ilona, Type: Random AI
Game 158: Winner: Anett, Type: Simple AI
Game 159: Winner: Anett, Type: Simple AI
Game 160: Winner: Ilona, Type: Random AI
Game 161: Winner: Anett, Type: Simple AI
Game 162: Winner: Anett, Type: Simple AI
Game 163: Winner: Ilona, Type: Random AI
Game 164: Winner: Anett, Type: Simple AI
Game 165: Winner: Ilona, Type: Random AI
Game 166: Winner: Ilona, Type: Random AI
Game 167: Winner: Ilona, Type: Random AI
Game 168: Winner: Anett, Type: Simple AI
Game 169: Winner: Anett, Type: Simple AI
Game 170: Winner: Anett, Type: Simple AI
Game 171: Winner: Anett, Type: Simple AI
Game 172: Winner: Anett, Type: Simple AI
Game 173: Winner: Ilona, Type: Random AI
Game 174: Winner: Anett, Type: Simple AI
Game 175: Winner: Anett, Type: Simple AI
Game 176: Winner: Anett, Type: Simple AI
Game 177: Winner: Anett, Type: Simple AI
Game 178: Winner: Anett, Type: Simple AI
Game 179: Winner: Anett, Type: Simple AI
Game 180: Winner: Anett, Type: Simple AI
Game 181: Winner: Ilona, Type: Random AI
Game 182: Winner: Anett, Type: Simple AI
Game 183: Winner: Ilona, Type: Random AI
Game 184: Winner: Ilona, Type: Random AI
Game 185: Winner: Anett, Type: Simple AI
Game 186: Winner: Ilona, Type: Random AI
