Players:
Béla (Random AI) 
Károly (Simple AI) 

Results:
Károly (Simple AI) won 511 games (51,1%)
Béla (Random AI) won 489 games (48,9%)

Game 145: Winner: Károly, Type: Simple AI
Game 146: Winner: Béla, Type: Random AI
Game 147: Winner: Béla, Type: Random AI
Game 148: Winner: Károly, Type: Simple AI
Game 149: Winner: Béla, Type: Random AI
Game 150: Winner: Béla, Type: Random AI
Game 151: Winner: Béla, Type: Random AI
Game 152: Winner: Károly, Type: Simple AI
Game 153: Winner: Béla, Type: Random AI
Game 154: Winner: Károly, Type: Simple AI
Game 155: Winner: Béla, Type: Random AI
Game 156: Winner: Károly, Type: Simple AI
Game 157: Winner: Béla, Type: Random AI
Game 158: Winner: Károly, Type: Simple AI
Game 159: Winner: Béla, Type: Random AI
Game 160: Winner: Károly, Type: Simple AI
Game 161: Winner: Béla, Type: Random AI
Game 162: Winner: Károly, Type: Simple AI
Game 163: Winner: Béla, Type: Random AI
Game 164: Winner: Béla, Type: Random AI
Game 165: Winner: Béla, Type: Random AI
Game 166: Winner: Károly, Type: Simple AI
Game 167: Winner: Károly, Type: Simple AI
Game 168: Winner: Károly, Type: Simple AI
Game 169: Winner: Béla, Type: Random AI
Game 170: Winner: Károly, Type: Simple AI
Game 171: Winner: Béla, Type: Random AI
Game 172: Winner: Béla, Type: Random AI
Game 173: Winner: Károly, Type: Simple AI
Game 174: Winner: Béla, Type: Random AI
Game 175: Winner: Béla, Type: Random AI
Game 176: Winner: Károly, Type: Simple AI
Game 177: Winner: Károly, Type: Simple AI
Game 178: Winner: Károly, Type: Simple AI
Game 179: Winner: Béla, Type: Random AI
Game 180: Winner: Károly, Type: Simple AI
Game 181: Winner: Béla, Type: Random AI
Game 182: Winner: Károly, Type: Simple AI
Game 183: Winner: Károly, Type: Simple AI
Game 184: Winner: Béla, Type: Random AI
Game 185: Winner: Károly, Type: Simple AI
Game 186: Winner: Béla, Type: Random AI
Game 187: Winner: Béla, Type: Random AI
Game 188: Winner: Béla, Type: Random AI
Game 189: Winner: Károly, Type: Simple AI
Game 190: Winner: Károly, Type: Simple AI
Game 191: Winner: Károly, Type: Simple AI
Game 192: Winner: Károly, Type: Simple AI
Game 193: Winner: Károly, Type: Simple AI
Game 194: Winner: Károly, Type: Simple AI
Game 195: Winner: Károly, Type: Simple AI
Game 196: Winner: Béla, Type: Random AI
Game 197: Winner: Béla, Type: Random AI
Game 198: Winner: Károly, Type: Simple AI
Game 199: Winner: Béla, Type: Random AI
Game 200: Winner: Béla, Type: Random AI
Game 201: Winner: Béla, Type: Random AI
Game 202: Winner: Károly, Type: Simple AI
Game 203: Winner: Béla, Type: Random AI
Game 204: Winner: Béla, Type: Random AI
Game 205: Winner: Károly, Type: Simple AI
Game 206: Winner: Károly, Type: Simple AI
Game 207: Winner: Béla, Type: Random AI
Game 208: Winner: Károly, Type: Simple AI
Game 209: Winner: Károly, Type: Simple AI
Game 210: Winner: Béla, Type: Random AI
Game 211: Winner: Béla, Type: Random AI
Game 212: Winner: Károly, Type: Simple AI
Game 213: Winner: Béla, Type: Random AI
Game 214: Winner: Béla, Type: Random AI
Game 215: Winner: Béla, Type: Random AI
Game 216: Winner: Béla, Type: Random AI
Game 217: Winner: Károly, Type: Simple AI
Game 218: Winner: Károly, Type: Simple AI
Game 219: Winner: Béla, Type: Random AI
Game 220: Winner: Károly, Type: Simple AI
Game 221: Winner: Béla, Type: Random AI
Game 222: Winner: Károly, Type: Simple AI
Game 223: Winner: Béla, Type: Random AI
Game 224: Winner: Károly, Type: Simple AI
Game 225: Winner: Béla, Type: Random AI
Game 226: Winner: Károly, Type: Simple AI
Game 227: Winner: Károly, Type: Simple AI
Game 228: Winner: Béla, Type: Random AI
Game 229: Winner: Károly, Type: Simple AI
Game 230: Winner: Béla, Type: Random AI
Game 231: Winner: Károly, Type: Simple AI
Game 232: Winner: Károly, Type: Simple AI
Game 233: Winner: Károly, Type: Simple AI
Game 234: Winner: Béla, Type: Random AI
Game 235: Winner: Béla, Type: Random AI
