150	Ten	Nine	o	11,7047959183673
151	Jack	Nine	o	11,9220408163265
152	Queen	Nine	o	12,2087755102041
153	King	Nine	o	12,5878571428571
154	Ace	Nine	o	13,0854081632653
155	Ten	Ten	o	12,9367346938776
156	Jack	Ten	o	12,1102040816327
157	Queen	Ten	o	12,3969387755102
158	King	Ten	o	12,7760204081633
159	Ace	Ten	o	13,2735714285714
160	Jack	Jack	o	13,8802040816327
161	Queen	Jack	o	12,5337755102041
162	King	Jack	o	12,9128571428571
163	Ace	Jack	o	13,4104081632653
164	Queen	Queen	o	14,8371428571429
165	King	Queen	o	13,050612244898
166	Ace	Queen	o	13,5481632653061
167	King	King	o	15,8075510204082
168	Ace	King	o	13,6868367346939
169	Ace	Ace	o	16,7914285714286
